POC,NWK_Code,Participant_Code,Loss_Code,Flow_Direction,Trading_date,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30,TP31,TP32,TP33,TP34,TP35,TP36,TP37,TP38,TP39,TP40,TP41,TP42,TP43,TP44,TP45,TP46,TP47,TP48,TP49,TP50
ASB0661,EASH,TRUS,H01,I,01/07/2015,9364.9056,9218.3316,9253.1340,9281.5104,9276.0126,9264.2724,9263.1912,9278.2056,9258.5706,9266.8938,9293.1588,9193.3314,11203.3332,11243.3784,13703.5776,13810.3308,13814.7066,13816.1856,13818.5418,13817.8176,13811.8404,13819.1028,13817.6850,13816.5426,9489.9984,9312.2430,9289.9968,9298.8810,9087.7716,8783.3628,8805.6294,8776.7226,8785.0764,8793.8892,13785.6060,13819.9086,13808.5458,13820.6328,13829.2314,13827.0690,13828.1196,13821.8160,13811.6568,13811.2590,13814.9616,13809.1578,11481.7830,11377.7430,,
ASB0661,EASH,TRUS,H01,I,02/07/2015,9391.6704,9192.4440,9231.6936,9273.2790,9288.6300,9286.0392,9286.4166,9306.9390,9284.7846,9296.8308,9278.2566,11161.4826,11225.8344,11227.5378,13668.3366,13801.0794,13805.5674,13819.8270,13815.6858,13815.0534,13812.3912,13804.0680,10121.8578,9826.0476,9808.8096,9808.4934,9818.6220,9825.8742,9821.5290,9810.4926,9803.6382,9823.2528,9824.2116,9820.0092,13738.1352,13812.1770,13817.6646,13819.8882,13816.5426,13826.3142,13822.7952,13808.5662,13803.0276,13735.6566,11400.5604,11361.5148,11301.9774,11242.0626,,
ASB0661,EASH,TRUS,H01,I,03/07/2015,9314.4870,9264.4458,9303.4200,9322.1880,9284.2542,9283.0200,9256.2858,9275.2170,9280.6230,9307.0002,9184.3962,11178.5064,11244.9696,11212.0746,13699.8444,13814.5536,13817.3790,13815.5124,13817.9706,13813.2786,13815.8490,13814.4312,13813.2480,13812.5442,9733.9926,9303.7668,8890.7790,8783.1690,8792.4102,8794.2054,8794.7766,8697.3768,8694.0924,8623.5288,13512.0930,13801.2426,13783.6068,13811.4936,13816.2876,13804.4964,13806.6486,13815.6654,13797.3768,13810.7898,11433.5268,11356.8942,12745.2468,12782.6400,,
ASB0661,EASH,TRUS,H01,I,04/07/2015,11346.5106,11314.6662,11342.6754,11344.5318,11351.9166,10300.4088,8356.3194,7696.2264,7722.0324,7754.0298,7751.9796,6292.0638,6171.1224,6161.6874,7264.9296,7322.3760,7266.7656,6228.1506,6184.7904,6231.7920,6235.4742,5584.3572,5700.2088,4215.1398,3910.1292,3927.6528,3933.8952,3937.8936,3938.3628,3931.2636,3932.0796,3921.0942,3950.0622,4314.2634,4314.4878,4278.7368,4305.2772,4323.7800,4324.5552,4320.0060,4320.0162,4317.1908,4316.1300,6589.5978,7634.5980,7658.7312,7651.4688,7650.4182,,
ASB0661,EASH,TRUS,H01,I,05/07/2015,7626.6114,7619.4306,7636.5156,8615.5830,8669.1126,8612.6658,8662.8804,8667.7662,9653.4126,9688.5924,9664.1634,9693.9474,11183.6268,11248.9680,11227.2318,12783.8742,12760.5570,12774.2658,12780.5388,12783.2928,13744.3878,13819.8066,1314.1782,0,0,1597.6566,13854.4152,13829.1090,13827.9972,13825.0290,13822.1220,13823.9376,13824.0804,13821.9792,13800.7020,13811.5038,13819.0518,13825.5900,13813.5846,13810.8816,13831.8426,13812.5646,13816.0938,13817.7360,13823.0706,13707.8514,13117.5774,10393.9734,,
ASB0661,EASH,TRUS,H01,I,06/07/2015,10322.1348,9601.5252,9518.6604,9670.0590,9660.0732,9289.3134,9659.5122,9474.7902,9241.6080,9190.4754,9259.9782,9203.2764,13625.4048,13807.9950,13809.3618,13812.4728,13812.4014,13820.5818,13811.6772,13813.7784,13819.6842,13816.7262,10534.9374,10324.6440,8844.3996,8777.7222,8776.3044,8771.4594,8774.5092,8773.9278,8756.3022,8832.1800,11751.2976,11734.3656,13754.9958,13796.3160,13812.9114,13825.1718,13824.5700,13824.1722,13824.0804,13821.6426,13819.6638,13817.4402,1177.3656,8702.3646,12396.4680,12395.6316,,
ASB0661,EASH,TRUS,H01,I,07/07/2015,12390.9906,11103.4854,10822.1082,10295.7066,10627.6860,10731.7770,10710.0714,10668.1698,10682.9598,9888.9204,9765.5718,11024.5272,11208.2496,11392.2168,13816.1856,13819.0008,13822.8258,13820.8572,13819.1946,13817.5218,13817.1444,13826.8854,13817.6442,12430.5156,8932.9560,8776.7226,8800.0194,8785.4946,8792.7672,8808.6486,8800.5498,8791.7982,8779.2726,8834.3832,13787.7582,13802.0892,13806.3630,13817.0016,13812.1770,13826.1612,13818.1848,13815.7164,13817.8584,13801.3038,1145.0724,9766.8774,13803.9966,13803.8130,,
ASB0661,EASH,TRUS,H01,I,08/07/2015,13819.3374,10466.1078,10314.6174,10273.7664,10299.9192,10291.3614,10322.5938,10284.2112,10283.1912,10169.7060,9732.5952,9765.4800,13672.8144,13796.7240,13807.5972,13817.2056,13813.5642,13801.3344,13802.4564,13812.5952,13811.5752,13818.4500,13813.2888,9130.2954,8762.2386,8780.2518,8787.6774,8792.7162,8759.2806,8781.6900,8781.4554,8771.1432,11149.4262,13713.7776,13805.2716,13806.2304,13812.5238,13827.3342,13821.3876,13819.9902,13809.7392,13803.4764,13812.9522,11450.5710,11349.4890,11333.1894,11327.6508,11330.5578,,
ASB0661,EASH,TRUS,H01,I,09/07/2015,9354.7872,9283.6524,9267.5670,9297.5958,9241.6182,9252.3078,9262.6914,9283.0710,9275.3802,9099.4302,8729.5782,8754.3948,8754.9558,8740.4922,13521.0078,13819.7658,13805.8122,13812.6258,13817.8074,13816.2264,13817.7258,13819.9290,13826.8956,9077.9490,8699.8248,8779.4970,8776.2126,8782.6284,8792.0226,8801.7024,8787.5244,8711.9220,8798.3976,8752.2834,13537.9194,13811.6466,13817.2464,13813.0542,13816.3386,13807.4136,13815.6144,13820.0718,13806.2814,13807.2198,11456.5074,11338.8810,11371.5822,11356.3128,,
ASB0661,EASH,TRUS,H01,I,10/07/2015,10336.9350,10337.3022,10299.8376,10330.1418,10323.8586,8324.2404,8264.9580,8235.0720,8234.8578,8248.6992,8245.5270,8241.4572,8175.2082,13430.2482,13816.6140,13818.9906,13814.9004,13816.2060,13825.8858,13819.8270,13810.5042,13810.6980,13813.3602,13806.6384,9030.8556,8790.5742,8794.5420,8765.5944,8788.3710,8777.5590,8772.5202,8785.3212,8780.4456,11591.8002,13737.2172,13815.7164,13813.9722,13820.4084,13823.8356,13826.1102,13824.6210,13815.2880,13817.3994,13812.3504,11450.8260,11365.7784,11369.2668,11362.7082,,
ASB0661,EASH,TRUS,H01,I,11/07/2015,9322.8000,9310.3866,9275.0946,9291.9144,9292.9854,9244.6476,9255.6636,9260.0802,11217.8172,11245.0308,11254.4454,11256.6078,11250.9366,11234.4228,12521.1222,12532.4952,12523.1928,12544.1436,12550.9266,12549.9474,12538.1256,12535.8102,12544.0110,12542.9604,12143.7630,12141.0294,12143.8140,12136.7352,12140.8254,12144.7932,12381.4944,12688.3716,12799.8780,12793.9722,12800.1942,12771.3180,12790.2288,12804.5700,12802.2546,12801.2550,13784.3514,13829.2518,13827.8442,13823.4582,11488.7496,11370.9090,11378.3856,11369.2668,,
ASB0661,EASH,TRUS,H01,I,12/07/2015,9349.3506,9308.3160,9296.5452,9293.8524,9283.6728,9302.4000,9308.8362,9301.2270,9276.9714,9302.4816,9304.7766,9306.5718,11363.9016,11510.5266,12484.5756,12542.4300,12528.7620,12745.1652,12784.5270,12798.5112,12797.2056,12795.7980,12800.4390,12796.6344,12796.9200,12799.1028,12803.7846,12799.1640,12797.1342,12802.7544,12801.7446,12798.5826,12801.1632,12790.5858,12794.0436,12784.8942,12782.9970,12797.2872,12798.5826,12800.9388,12801.2244,12791.1672,12724.8978,12664.7688,11369.9706,11347.7958,11367.0228,11363.4324,,
ASB0661,EASH,TRUS,H01,I,13/07/2015,9463.6926,9280.8168,9313.2426,9297.8508,9312.6408,9307.1838,9317.4960,9303.4200,9254.0826,9282.2856,9279.3990,9332.1534,9404.3592,11474.0514,13666.7046,13812.9216,13809.3006,13811.4936,13821.0408,13814.4006,13813.4520,13817.8074,13818.4398,13813.2684,9798.7830,8282.2368,8299.2300,8272.8018,8263.5096,8272.2204,8283.2160,8273.8014,8277.0858,8499.2520,13793.3478,13805.6694,13793.8578,13804.6392,13815.5940,13820.4900,13824.3966,13822.7748,13825.1004,13821.6936,13817.7870,11859.7032,11628.5916,11618.3406,,
ASB0661,EASH,TRUS,H01,I,14/07/2015,9651.1584,9612.7554,9622.1802,9588.9078,9598.6080,8981.1918,8767.1958,8816.9820,8804.5890,8783.4342,8776.6410,11651.4090,11738.0784,11739.0270,12985.8852,13805.6490,13817.4198,13821.3978,13822.8462,13830.1494,13819.0212,13821.5100,13816.7976,13826.2836,8577.0984,8276.9634,8290.4784,8297.0268,8297.9346,8303.7792,8276.0556,8270.4864,8278.4322,13544.8860,13805.2818,13804.2720,13806.6792,13808.9538,13812.2790,13814.9310,13811.6262,13811.0958,13807.1688,13822.0812,13810.3512,13478.8920,11372.1534,11345.6334,,
ASB0661,EASH,TRUS,H01,I,15/07/2015,9320.2194,9287.8242,9257.2752,9294.3828,9294.4848,8903.4678,8798.3364,8767.2774,8756.9550,8744.5824,8966.1672,11705.6730,11739.5472,11395.9092,13589.2866,13805.6490,13812.7176,13812.4626,13807.1994,13819.0110,13824.4578,13816.7670,13808.1276,13801.3446,8739.4416,8290.4580,8291.4066,8264.5194,8281.4412,8291.2128,8292.9978,8276.2392,11726.2566,11864.7216,13719.0816,13807.4952,13814.1558,13808.1072,13811.8914,13818.1848,13813.9518,13809.9024,13809.1170,13804.8432,13783.5150,11515.1064,11367.6348,11370.1032,,
ASB0661,EASH,TRUS,H01,I,16/07/2015,11370.0318,11350.4886,11344.7664,7981.9386,7756.6614,7742.7180,7664.5554,7730.7942,7759.6194,7752.2958,7751.0616,11525.2248,11742.8928,13713.7980,13815.4206,13813.5438,13810.8408,13818.5928,13803.3642,13817.6850,13823.4990,13820.7858,13820.3982,13821.8058,13818.3276,13820.0412,8645.4078,8281.2066,8293.2630,8258.1852,8279.6970,8262.3366,8282.3796,8268.9156,13582.4628,13811.6466,13793.1948,13806.0570,13818.5622,13822.4688,13817.5116,13812.8094,13810.7592,13813.2378,13810.2084,11975.4222,11852.7876,11884.6524,,
ASB0661,EASH,TRUS,H01,I,17/07/2015,9247.7484,8769.7662,8784.6174,8790.5436,8793.1446,8809.4136,8763.5034,8764.1052,8790.9924,8787.1878,8746.8162,11605.1724,11750.5020,11735.8956,13785.9834,13813.6458,13797.3564,13806.2712,13801.8546,12765.5856,400.6152,0,0,0,0,0,0,0,0,0,0,0,0,2506.6908,13394.0280,13802.8542,13789.0332,13811.5140,13812.5340,13812.3912,13822.6014,13820.5308,13819.8474,13811.2692,13809.4434,13809.0558,13804.3944,11941.7010,,
ASB0661,EASH,TRUS,H01,I,18/07/2015,11850.5130,11874.9624,11875.5234,9366.7518,9293.0568,8290.2540,8199.8616,8216.9364,8248.1280,8251.8102,8276.7390,8271.7512,11664.2202,11764.6596,12773.9802,12786.4548,12787.5666,12785.8326,12773.9292,12599.5704,12397.2534,12398.1204,12392.2554,12393.2448,12527.4564,12535.6980,12531.4242,12532.6584,12512.6562,12532.7502,12538.4928,12543.9396,12543.8172,12488.0232,12384.7176,12378.1386,12364.3584,12397.3656,12391.4700,12399.8136,11398.9998,11376.2742,11351.9472,11356.6392,11327.3754,11330.7720,11329.3440,11379.7116,,
ASB0661,EASH,TRUS,H01,I,19/07/2015,9861.2478,9307.8162,9277.7058,9275.2476,9286.0392,9286.6410,9301.8186,9282.4080,9285.7740,9299.0646,9309.6726,9263.1198,9232.7136,12213.9696,12533.2602,12532.1994,12530.6490,12513.5436,12516.9810,12526.4262,12538.9212,12539.9820,11625.1746,11622.5124,11625.3684,11627.7144,11621.1048,11618.7588,11614.1484,11619.8298,11624.9808,11619.8910,11611.4760,11610.9354,13685.3706,13802.6196,13794.4086,13812.1668,13819.7964,13817.7360,13822.5912,12796.7874,10982.1360,11217.2460,11510.4348,11747.2584,11744.6880,11742.4338,,
ASB0661,EASH,TRUS,H01,I,20/07/2015,9874.5078,9790.9596,9778.9134,9528.2994,9562.8570,9562.6020,9554.2380,9422.5662,9318.9954,9317.8428,9290.7414,9274.7172,9196.6974,9104.7852,13595.5494,13808.7396,13823.6724,13826.9976,13811.4426,13819.5006,13823.6214,13822.0200,13815.1554,13818.1950,9546.9348,9279.1848,9277.3386,9262.7322,9293.3526,9307.9692,9304.2054,8097.6168,7744.6254,7343.1432,13292.5380,13806.6690,13773.7332,13819.7964,13826.1000,13464.9894,13425.8724,13418.7426,13416.7740,13390.9680,11651.7252,11608.9770,11605.6518,11611.5066,,
ASB0661,EASH,TRUS,H01,I,21/07/2015,9622.8738,9554.1360,9560.1132,9514.3764,9331.4904,9286.9878,9295.4538,9296.2086,9298.5342,9283.6116,9301.8390,9268.0260,11203.8738,11239.1250,13661.8800,13767.7662,13815.7470,13808.3214,13815.3084,13828.5888,13823.0808,13818.6132,13812.9114,13813.8702,9453.1560,9317.8122,9320.9844,9298.5852,9316.7310,9312.2532,9270.6168,9299.1666,9299.7174,9258.6930,13733.9328,13816.8282,13810.8408,13813.8906,13829.9250,13827.7014,13828.9866,13823.2236,13820.4084,13530.8508,11414.2590,11373.7752,11342.9508,11345.8272,,
ASB0661,EASH,TRUS,H01,I,22/07/2015,9387.0702,9292.1388,9300.4110,9292.5570,9283.1424,9299.1972,9319.7808,9240.7716,9294.9744,9301.1454,9286.2942,9264.0990,11162.1864,11203.1700,13641.1434,13815.5022,13823.6928,13822.9584,13834.0458,13831.1796,13828.2420,13825.1514,13823.3868,9475.4940,9281.5716,9262.5282,9284.3154,9295.4232,9306.5412,9313.3344,9313.8036,9316.2618,9274.0338,9301.0740,13673.7630,13806.6180,13810.9836,13811.1162,13819.6332,13817.5218,13814.7474,13814.0742,13812.8196,13807.5666,11486.7708,11356.3128,11374.0200,11369.1750,,
ASB0661,EASH,TRUS,H01,I,23/07/2015,9340.3134,9298.3302,9300.5436,9294.1788,9312.7224,9308.4078,9312.2124,9292.5366,9300.0846,9299.6460,9276.4104,11189.8284,11223.5904,11220.0612,13688.8488,13813.8090,13822.5300,13821.2754,13815.5124,13812.3300,13806.5568,13819.5924,13824.1314,8162.5704,7751.9694,7765.6782,7766.3208,7766.3004,7770.0438,11127.9654,11247.2340,11490.3714,11472.1746,11503.8762,11495.0022,13520.1000,13750.8852,13668.1020,13682.7492,13671.3966,13663.3590,13660.2378,11394.0936,9334.9380,6135.1470,5166.7692,5191.2288,5189.3622,,
ASB0661,EASH,TRUS,H01,I,24/07/2015,5211.3432,5176.4898,5172.5424,5185.8228,5148.0828,5140.6062,8988.8928,10694.8938,10709.3676,10410.6300,10303.7442,10306.4064,10324.7256,10283.9664,13695.6930,13815.1452,13812.8604,13813.0950,13812.8196,13817.1342,13818.5316,13813.0950,13819.3068,13804.6902,13814.8188,13813.9518,9530.2884,9303.7464,9312.4062,9288.4158,9307.2450,9313.8648,9313.8852,9289.3032,13659.4014,13819.8780,13811.9730,13821.5916,13821.0714,13819.8270,13819.5516,13823.0706,10107.6492,9816.0108,9834.5340,9807.5346,9774.6600,9791.2656,,
ASB0661,EASH,TRUS,H01,I,25/07/2015,9802.1796,9798.6708,9804.2400,9798.5484,9773.0280,9785.1456,10671.9132,10716.1710,10721.6994,10733.0928,10728.6864,11761.2426,11764.3026,11770.6572,13781.5566,13814.4210,13817.8788,13805.3634,13828.2624,13827.7320,13829.8740,13826.1204,13823.9682,13826.4366,13824.7944,13827.0078,9512.1732,9289.1298,9319.2198,8942.2278,8794.2870,8823.2856,8629.1388,8565.9804,13472.4150,13822.4280,13818.8988,13819.1538,13825.2534,13824.7536,13823.7642,13825.9878,13824.6414,13823.5092,11448.8574,11360.6784,11331.7716,11336.7798,,
ASB0661,EASH,TRUS,H01,I,26/07/2015,10335.8028,10349.4198,10253.3562,10334.3238,10348.8996,10342.6470,10349.6442,10346.1354,10337.9652,9327.0228,9286.8450,9300.0132,11223.2538,11196.9480,11236.1466,13797.7032,13821.1530,13817.2362,13820.9592,13820.1330,13819.8066,13822.1628,13819.5924,13825.2024,13825.9776,13688.9814,8602.2312,8267.4774,8273.9238,8287.6734,8289.9480,8274.3114,8276.9736,8283.9504,13589.3784,13812.0342,13798.6722,13813.8396,13819.0824,13814.5638,13818.4500,13815.3492,13793.7966,13807.9746,11424.5712,11319.3072,11351.1006,11331.5676,,
ASB0661,EASH,TRUS,H01,I,27/07/2015,9353.3592,9294.9234,9237.3852,9232.4484,9254.3580,9283.1832,9240.5064,9276.6348,9271.3818,9271.5246,10836.2862,11244.0516,11228.9148,11214.2472,13749.0900,13814.2986,13812.8196,13810.9122,13812.5646,13816.3998,13818.5622,13812.0954,13811.1060,13816.6344,9598.0980,9305.6028,9305.8782,9316.2414,9302.8590,9309.8052,9306.5922,8493.3156,8276.5350,8362.3272,13516.9584,13812.9624,13806.6282,13800.8856,13807.0362,13813.2072,13820.1228,13817.8278,13812.5136,13814.7882,11541.9018,11349.7440,13723.1514,13804.0680,,
ASB0661,EASH,TRUS,H01,I,28/07/2015,10597.5246,9280.3272,9283.7952,9280.2966,9277.9200,9295.5966,9254.0010,9285.3456,8935.5774,11109.7380,11254.4862,11218.2252,11240.3694,11586.1392,13729.2408,13811.9526,13644.1320,0,0,3116.4060,13819.9698,13820.8572,13826.1714,13820.9796,13817.4300,13821.0510,9996.3978,9810.6558,9815.0112,9812.5734,9821.8350,9648.2106,9550.4538,9544.1604,13713.8490,13808.9028,13809.8106,13808.9130,13804.5576,13814.5332,13815.6654,13812.1566,13820.9898,13614.0624,13490.4180,13544.9574,11403.7020,11350.7028,,
ASB0661,EASH,TRUS,H01,I,29/07/2015,9306.2862,9302.8590,9422.8722,9441.5382,9409.0818,9365.9970,9282.2958,9277.5324,9246.0246,9453.5232,11199.4674,11229.2208,11229.8328,11240.0226,13698.2736,13791.8484,13796.9892,13806.8118,13812.3912,13814.5842,13814.6046,13811.1774,13810.6470,13809.8616,10395.2382,9303.4098,9281.6226,9278.1546,9297.9222,9305.9088,9310.0092,9293.0058,9288.1302,9305.9700,13619.6826,13777.3134,13787.0544,13813.0338,13810.6470,13816.4610,13815.6960,13810.5348,138